Recipe_ID,Recipe_Name,Yield_Units,Unit_Type,Total_Cost_per_Batch,Cost_per_Unit,Total_Calories_per_Batch,Calories_per_Unit,Target_Price_per_Unit,Suggested_Price_per_Unit,Gross_Margin_%
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A19,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E19/C19,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A19,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G19/C19,0)",,"=ROUND(F19*3,2)","=IFERROR((I19-F19)/I19,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A20,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E20/C20,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A20,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G20/C20,0)",,"=ROUND(F20*3,2)","=IFERROR((I20-F20)/I20,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A21,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E21/C21,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A21,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G21/C21,0)",,"=ROUND(F21*3,2)","=IFERROR((I21-F21)/I21,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A22,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E22/C22,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A22,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G22/C22,0)",,"=ROUND(F22*3,2)","=IFERROR((I22-F22)/I22,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A23,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E23/C23,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A23,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G23/C23,0)",,"=ROUND(F23*3,2)","=IFERROR((I23-F23)/I23,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A24,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E24/C24,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A24,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G24/C24,0)",,"=ROUND(F24*3,2)","=IFERROR((I24-F24)/I24,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A25,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E25/C25,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A25,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G25/C25,0)",,"=ROUND(F25*3,2)","=IFERROR((I25-F25)/I25,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A26,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E26/C26,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A26,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G26/C26,0)",,"=ROUND(F26*3,2)","=IFERROR((I26-F26)/I26,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A27,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E27/C27,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A27,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G27/C27,0)",,"=ROUND(F27*3,2)","=IFERROR((I27-F27)/I27,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A28,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E28/C28,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A28,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G28/C28,0)",,"=ROUND(F28*3,2)","=IFERROR((I28-F28)/I28,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A29,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E29/C29,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A29,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G29/C29,0)",,"=ROUND(F29*3,2)","=IFERROR((I29-F29)/I29,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A30,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E30/C30,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A30,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G30/C30,0)",,"=ROUND(F30*3,2)","=IFERROR((I30-F30)/I30,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A31,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E31/C31,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A31,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G31/C31,0)",,"=ROUND(F31*3,2)","=IFERROR((I31-F31)/I31,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A32,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E32/C32,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A32,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G32/C32,0)",,"=ROUND(F32*3,2)","=IFERROR((I32-F32)/I32,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A33,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E33/C33,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A33,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G33/C33,0)",,"=ROUND(F33*3,2)","=IFERROR((I33-F33)/I33,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A34,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E34/C34,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A34,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G34/C34,0)",,"=ROUND(F34*3,2)","=IFERROR((I34-F34)/I34,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A35,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E35/C35,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A35,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G35/C35,0)",,"=ROUND(F35*3,2)","=IFERROR((I35-F35)/I35,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A36,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E36/C36,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A36,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G36/C36,0)",,"=ROUND(F36*3,2)","=IFERROR((I36-F36)/I36,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A37,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E37/C37,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A37,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G37/C37,0)",,"=ROUND(F37*3,2)","=IFERROR((I37-F37)/I37,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A38,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E38/C38,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A38,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G38/C38,0)",,"=ROUND(F38*3,2)","=IFERROR((I38-F38)/I38,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A39,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E39/C39,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A39,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G39/C39,0)",,"=ROUND(F39*3,2)","=IFERROR((I39-F39)/I39,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A40,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E40/C40,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A40,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G40/C40,0)",,"=ROUND(F40*3,2)","=IFERROR((I40-F40)/I40,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A41,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E41/C41,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A41,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G41/C41,0)",,"=ROUND(F41*3,2)","=IFERROR((I41-F41)/I41,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A42,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E42/C42,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A42,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G42/C42,0)",,"=ROUND(F42*3,2)","=IFERROR((I42-F42)/I42,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A43,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E43/C43,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A43,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G43/C43,0)",,"=ROUND(F43*3,2)","=IFERROR((I43-F43)/I43,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A44,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E44/C44,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A44,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G44/C44,0)",,"=ROUND(F44*3,2)","=IFERROR((I44-F44)/I44,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A45,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E45/C45,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A45,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G45/C45,0)",,"=ROUND(F45*3,2)","=IFERROR((I45-F45)/I45,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A46,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E46/C46,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A46,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G46/C46,0)",,"=ROUND(F46*3,2)","=IFERROR((I46-F46)/I46,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A47,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E47/C47,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A47,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G47/C47,0)",,"=ROUND(F47*3,2)","=IFERROR((I47-F47)/I47,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A48,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E48/C48,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A48,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G48/C48,0)",,"=ROUND(F48*3,2)","=IFERROR((I48-F48)/I48,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A49,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E49/C49,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A49,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G49/C49,0)",,"=ROUND(F49*3,2)","=IFERROR((I49-F49)/I49,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A50,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E50/C50,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A50,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G50/C50,0)",,"=ROUND(F50*3,2)","=IFERROR((I50-F50)/I50,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A51,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E51/C51,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A51,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G51/C51,0)",,"=ROUND(F51*3,2)","=IFERROR((I51-F51)/I51,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A52,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E52/C52,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A52,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G52/C52,0)",,"=ROUND(F52*3,2)","=IFERROR((I52-F52)/I52,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A53,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E53/C53,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A53,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G53/C53,0)",,"=ROUND(F53*3,2)","=IFERROR((I53-F53)/I53,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A54,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E54/C54,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A54,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G54/C54,0)",,"=ROUND(F54*3,2)","=IFERROR((I54-F54)/I54,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A55,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E55/C55,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A55,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G55/C55,0)",,"=ROUND(F55*3,2)","=IFERROR((I55-F55)/I55,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A56,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E56/C56,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A56,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G56/C56,0)",,"=ROUND(F56*3,2)","=IFERROR((I56-F56)/I56,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A57,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E57/C57,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A57,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G57/C57,0)",,"=ROUND(F57*3,2)","=IFERROR((I57-F57)/I57,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A58,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E58/C58,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A58,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G58/C58,0)",,"=ROUND(F58*3,2)","=IFERROR((I58-F58)/I58,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A59,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E59/C59,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A59,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G59/C59,0)",,"=ROUND(F59*3,2)","=IFERROR((I59-F59)/I59,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A60,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E60/C60,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A60,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G60/C60,0)",,"=ROUND(F60*3,2)","=IFERROR((I60-F60)/I60,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A61,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E61/C61,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A61,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G61/C61,0)",,"=ROUND(F61*3,2)","=IFERROR((I61-F61)/I61,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A62,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E62/C62,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A62,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G62/C62,0)",,"=ROUND(F62*3,2)","=IFERROR((I62-F62)/I62,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A63,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E63/C63,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A63,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G63/C63,0)",,"=ROUND(F63*3,2)","=IFERROR((I63-F63)/I63,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A64,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E64/C64,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A64,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G64/C64,0)",,"=ROUND(F64*3,2)","=IFERROR((I64-F64)/I64,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A65,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E65/C65,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A65,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G65/C65,0)",,"=ROUND(F65*3,2)","=IFERROR((I65-F65)/I65,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A66,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E66/C66,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A66,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G66/C66,0)",,"=ROUND(F66*3,2)","=IFERROR((I66-F66)/I66,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A67,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E67/C67,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A67,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G67/C67,0)",,"=ROUND(F67*3,2)","=IFERROR((I67-F67)/I67,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A68,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E68/C68,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A68,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G68/C68,0)",,"=ROUND(F68*3,2)","=IFERROR((I68-F68)/I68,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A69,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E69/C69,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A69,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G69/C69,0)",,"=ROUND(F69*3,2)","=IFERROR((I69-F69)/I69,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A70,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E70/C70,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A70,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G70/C70,0)",,"=ROUND(F70*3,2)","=IFERROR((I70-F70)/I70,0)"
,,,,"=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A71,Recipe_Ingredients!$E$2:$E$500),0)","=IFERROR(E71/C71,0)","=IFERROR(SUMIF(Recipe_Ingredients!$A$2:$A$500,A71,Recipe_Ingredients!$G$2:$G$500),0)","=IFERROR(G71/C71,0)",,"=ROUND(F71*3,2)","=IFERROR((I71-F71)/I71,0)"
